Calidad,Ciudad,Complemento,Costo Fijo,Costo Variable por  {size1Alias},Código de la Ubicación,Código Postal,Descripción,Dirección,Distrito,Días de Entrega,Email,Estado,Fecha de Geocodificación,Fecha de la última modificación,Habilitado,Huso horario,ID de Tax,Instrucciones,Latitud,Longitud,Organización,Pais,Radio de Entrega,Tel. 1,Tel. 2,Tiempo de Servicio Fijo con ayudante,Tiempo de Servicio Fijo sin ayudante,Tiempo de Servicio Variable con ayudante,Tiempo de Servicio Variable sin ayudante,Tiene Geocerca,Tipo,Tipos de Tiempo de Servicio,Tipos de Ventana de Servicio,Última modificación por,id
MANUAL,,,,,0620251141,,FRUTAS LA PASADITA,CALLE AV. SANTA CECILIA 3 37727 SAN MIGUEL DE ALLENDE,,"S,T,R,S",,,2025-03-18 12:13:23,2025-03-18 12:13:23,true,Mexico/General,,,20.933921409682572,-100.73988246924274,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,JJRivera,1981990
MANUAL,,,,,1620068150,,BARBACOA RODRIGUEZ,AUTOPISTA SAN MIGUEL 12 50000 TOLUCA,,"S,T,W,R,F,S",,,2025-03-17 10:50:52,2025-03-31 05:33:10,true,America/Costa Rica,,,20.8849666,-100.5971545,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,2883620
MANUAL,,,,,0620298375,,Francisco Trejo,LUCAS BALDERAS 26 37700 SAN MIGUEL DE ALLENDE,,"M,T,R,S",,,2025-03-20 12:42:17,2025-03-20 12:42:17,true,America/Costa Rica,,,20.9373747,-100.7339178105,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,MX03884456,2889417
MANUAL,,,,,0620302165,,ABARROTES OLALDE,CALLE PRINCIPAL SN 37880 SAN MIGUEL DE ALLENDE,,"S,M,T,R,F,S",,,2025-03-19 13:49:44,2025-04-01 21:48:35,true,America/Costa Rica,,,20.8620297,-100.65324012,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,2888988
MANUAL,,,,,0620300585,,THE COFFEE,HERNANDEZ MACIAS 76 37700 SAN MIGUEL DE ALLENDE,,"S,M,T,R,F,S",,,2025-03-22 12:42:57,2025-04-29 22:06:28,true,America/Costa Rica,,,20.9143145,-100.7453356,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,2890429
MANUAL,,,,,0620302936,,OXXO CIENEGUITA II,CARR SMA-CIENEGUITA SN 37893 SAN MIGUEL DE ALLENDE,,"S,M,W,F",,,2025-03-28 08:09:39,2025-03-31 22:07:34,true,America/Costa Rica,,,20.9237976,-100.7781643,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,2892954
MANUAL,,,,,0620236116,,GYRO ''S,CALLE STIRLING DICKINSON 13 37750 SAN MIGUEL DE ALLENDE,,"S,M,T,W,R,F",,,2022-05-09 17:32:53,2022-09-23 20:28:34,true,Mexico/General,,,20.9065181,-100.75068,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1735417
MANUAL,,,,,0620300936,,MIA PIZZA,CONDE DEL CANAL 154 A 37700 SAN MIGUEL DE ALLENDE,,"S,M,T,W,F",,,2025-03-20 12:04:50,2025-04-24 04:27:55,true,America/Costa Rica,,,20.9144833,-100.75107838,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,2889418
MANUAL,,,,,0620206796,,JUANA OLVERA SANTANA,CALLE SEDRO SN 37886 SAN MIGUEL DE ALLENDE,,"S,T,W,R,F,S",,,,2023-11-06 06:26:02,true,Mexico/General,,,20.89328112244359,-100.70034563541412,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,761379
MANUAL,,,,,0620235758,,FERRETERÍA ABYJON,CALLE SAN JUAN SN 37710 SAN MIGUEL DE ALLENDE,,"S,T,W,R,F,S",,,2023-10-30 16:12:32,2023-10-30 16:12:32,true,Mexico/General,,,20.934837291142223,-100.81209182739259,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,MX03884456,1719075
,,,,,0620072228,,JOSE ALONSO MUÑOZ OVIEDO,CALLE CARRET A COMONF NEUTLA 3 38220 COMONFORT,,,,,,2022-05-27 19:58:30,true,,,,20.717653,-100.778796,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,682630
MANUAL,,,,,0620285946,,PAPELERIA SAN JUAN,CALLE GUANAJUATO 15 37897 SAN MIGUEL DE ALLENDE,,"S,T,W,R,S",,,2024-10-28 12:05:46,2024-11-18 06:00:46,true,America/Costa Rica,,,20.9359283,-100.8119517,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,2780864
MANUAL,,,,,0603501317,,LA BELLA ITALIA,PORTAL GUADALUPE 12 37700 SAN MIGUEL DE ALLENDE,,"S,T,R,S",,,2022-06-20 14:49:50,2024-10-14 21:51:51,true,,,,20.902502901041096,-100.7528465987707,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,683245
,,,,,0620238651,,HOTEL ARCADA,CALLE LA ESTACION 185 37700 SAN MIGUEL DE ALLENDE,,"S,M,T,W,R,S",,,,2022-08-22 16:27:11,true,Mexico/General,,,20.91562167,-100.7624317,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1825711
MANUAL,,,,,0603501318,,FRANCISCA ELIAS LAGUNA,CALLE SANTA CRUZ 8 37700 SAN MIGUEL DE ALLENDE,,"M,T,R,S",,,2022-05-24 15:15:49,2025-04-17 23:37:42,true,,,,20.88162849631366,-100.76614558696748,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,685873
MANUAL,,,,,0620237062,,CAFETERIA CUADRANTE,"CALLE CUADRANTE 34, A 37700 SAN MIGUEL DE ALLENDE",,"S,M,T,W,F,S",,,2022-05-27 10:41:59,2022-06-13 12:17:37,true,Mexico/General,,,20.912695,-100.744891666667,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,1768991
,,,,,0620240067,,GOMBOS,CALLE EUCALIPTOS 21 37700 SAN MIGUEL DE ALLENDE,,"S,M,W,R,F,S",,,,2023-01-11 11:25:15,true,Mexico/General,,,20.96915667,-100.775915,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1853196
,,,,,0620239681,,JUAN GERARDO,CALLE EZQUINAPAN 10 37713 SAN MIGUEL DE ALLENDE,,"S,M,T,W,F,S",,,,2023-01-11 11:25:25,true,Mexico/General,,,,,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1877812
MANUAL,,,,,0620239667,,DULCE MARÍA,AVENIDA INDEPENDENCIA 16 37732 SAN MIGUEL DE ALLENDE,,"S,M,T,R,F,S",,,2022-08-11 15:08:30,2022-08-16 20:03:29,true,Mexico/General,,,20.91921,-100.7490367,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1834784
,,,,,0620239904,,JESUS ARTURO,CALLE ALAMOS 48 37730 SAN MIGUEL DE ALLENDE,,"S,M,T,R,F,S",,,,2023-01-11 11:25:19,true,Mexico/General,,,20.92496833,-100.7624967,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1856354
MANUAL,,,,,0620240366,,ERIKA EDITH SALCEDO,CALLE MISION ALDAMA 7 37700 SAN MIGUEL DE ALLENDE,,"S,T,R,F,S",,,2022-08-11 15:07:53,2022-08-20 22:19:36,true,Mexico/General,,,20.9115407,-100.7622475,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1859172
MANUAL,,,,,0620240365,,EDITH MORALES,AVENIDA LAS BRISAS 1 37884 SAN MIGUEL DE ALLENDE,,"S,M,T,W,F,S",,,2022-08-19 13:31:46,2022-08-24 21:08:30,true,Mexico/General,,,20.9069062,-100.7577522,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1859173
,,,,,0620239473,,GORDITAS LA CURVA,CARRETERA A SAN MIGUEL KM5 37880 SAN MIGUEL DE ALLENDE,,"S,M,T,W,R,F",,,,2024-10-18 22:54:24,true,Mexico/General,,,20.94284667,-100.6799667,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmtmproot,1859231
MANUAL,,,,,0620239917,,ROSTOCK,CALLE IGNACIO RAMIREZ 31 37700 SAN MIGUEL DE ALLENDE,,"S,M,W,F",,,2023-11-25 13:06:34,2023-11-25 13:06:34,true,Mexico/General,,,20.92816342442867,-100.74571788311005,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,MX03884456,1838031
MANUAL,,,,,0620240069,,LOS CHILAQUILES Y MAS...,CALLE TEPEHUAJE 5A 37746 SAN MIGUEL DE ALLENDE,,"S,M,T,W,R,S",,,2023-11-30 16:44:46,2023-11-30 16:44:46,true,Mexico/General,,,20.901600293444606,-100.719952583313,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,MX03884456,1849811
,,,,,0620239670,,TACOS DOÑA LILI,CALZADA AVE PRINSIPAL LA LUZ 1 37745 SAN MIGUEL DE ALLENDE,,"S,M,T,R,F,S",,,,2023-01-11 11:25:04,true,Mexico/General,,,20.90011667,-100.7171267,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1840151
,,,,,0620240362,,KARFER,CALLE GATILLAL 20 37748 SAN MIGUEL DE ALLENDE,,"S,M,W,R,F",,,,2023-01-11 11:25:03,true,Mexico/General,,,20.9127335,-100.7183128,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1859191
,,,,,0620239665,,KABAN,CALLE HERNANDEZ MACIAS 43 B 37700 SAN MIGUEL DE ALLENDE,,"S,M,T,W,R,S",,,,2023-01-11 11:24:58,true,Mexico/General,,,,,Distribuidora San Miguel de Allende,MX,0.05,,,,,,,false,Default,,,gmresequence,1834779
