Calidad,Ciudad,Complemento,Costo Fijo,Costo Variable por  {size1Alias},Código de la Ubicación,Código Postal,Descripción,Dirección,Distrito,Días de Entrega,Email,Estado,Fecha de Geocodificación,Fecha de la última modificación,Habilitado,Huso horario,ID de Tax,Instrucciones,Latitud,Longitud,Organización,Pais,Radio de Entrega,Tel. 1,Tel. 2,Tiempo de Servicio Fijo con ayudante,Tiempo de Servicio Fijo sin ayudante,Tiempo de Servicio Variable con ayudante,Tiempo de Servicio Variable sin ayudante,Tiene Geocerca,Tipo,Tipos de Tiempo de Servicio,Tipos de Ventana de Servicio,Última modificación por,id
MANUAL,,,,,0620301702,,SAN JUANA GRANADOS YEBRA,CALLE CALLEJON LADERA DE GAVIL 36020 GUANAJUATO,,"S,M,W,R,F",,,2025-03-18 11:15:28,2025-03-31 23:37:52,true,America/Costa Rica,,,21.0250667,-101.2601483,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2888696
MANUAL,,,,,0620301386,,DATWYLER,AVENIDA PASEO DE LAS COLINAS 6 36113 SILAO DE LA VICTORIA,,"S,T,R,F,S",,,2025-04-02 16:17:21,2025-04-13 21:06:31,true,America/Costa Rica,,,20.9693979,-101.4315797,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2888700
MANUAL,,,,,0620302305,,POLLOS ASADOS,CALLE AURORA 15 36100 SILAO DE LA VICTORIA,,"S,M,W,R,F,S",,,2025-03-18 09:41:41,2025-03-31 23:47:48,true,America/Costa Rica,,,20.95042,-101.42502,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2888702
,,,,,0620302087,,NATALY,CALLE SANTA 8 36000 GUANAJUATO,,"S,T,R,F,S",,,,,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,,2883634
MANUAL,,,,,0620302081,,MAGDALENA MUÑOZ RAZO,CALLE PINOS 6 36285 SILAO DE LA VICTORIA,,"S,M,T,R,F,S",,,2025-03-19 14:12:45,2025-03-25 23:26:10,true,America/Costa Rica,,,20.8912267,-101.428155,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2889258
MANUAL,,,,,0620287050,,MARIA EUSTOQUIA SALAZAR,CALLE CALLEJON DE LA VENADA 15 36030 GUANAJUATO,,"T,W,R,S",,,2025-04-28 14:32:50,2025-04-28 14:32:50,true,America/Costa Rica,,,21.0254517,-101.2640133,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,MX01531589,2890120
,,,,,0620289616,,LAURA ALICIA,CALLE MRAL DE VALENCIANA SN 36030 GUANAJUATO,,"S,M,T,W,R,S",,,,,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,,2890121
,,,,,0620299264,,VIVERO ALBERTO HERNANDEZ,CALLE FRACC BUSTAMANTE 2 36288 SILAO DE LA VICTORIA,,"S,M,T,W,R,S",,,,,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,,2890122
MANUAL,,,,,0620301382,,GIM LOBOS,"CARRETERA DOLORES HIDALGO 16, 36040 GUANAJUATO",,"S,M,T,W,R,S",,,2025-04-18 11:07:05,2025-04-25 06:32:42,true,America/Costa Rica,,,21.0215367,-101.271265,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2890125
MANUAL,,,,,0620297277,,GORDITAS CHARY''S,AVENIDA CARR A CERVERA 8 36263 GUANAJUATO,,"S,M,T,W,R,S",,,2025-04-25 10:00:09,2025-04-25 10:00:09,true,America/Costa Rica,,,20.96733724112969,-101.29389166831972,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,MX01531589,2890126
MANUAL,,,,,0620301872,,QUESADILLAS ARLET,CALLE CLL HOSPITALES 33 36250 GUANAJUATO,,"S,M,W,R,F",,,2025-04-08 16:27:04,2025-04-15 00:17:59,true,America/Costa Rica,,,21.00871,-101.2824117,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2890572
MANUAL,,,,,0620302518,,ABARROTES NATALIA,CALLE PRINCIPAL 14 36296 SILAO DE LA VICTORIA,,"S,M,T,R,S",,,2025-04-16 15:36:31,2025-04-17 22:38:46,true,America/Costa Rica,,,20.8689946,-101.3568899,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2890117
,,,,,0620302709,,BLANCA LETICIA,CALLE MIGUEL HIDALGO 7 36277 SILAO DE LA VICTORIA,,"S,M,T,R,S",,,,,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,,2890570
MANUAL,,,,,0620302517,,ABARROTES JUAQUIN,CALLE NIÑO OBRERO 31 36158 SILAO DE LA VICTORIA,,"S,M,T,W,R,S",,,2025-03-24 11:50:40,2025-03-28 01:01:50,true,America/Costa Rica,,,20.933271,-101.425522,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2890128
MANUAL,,,,,0620302712,,LONCHERIA GUTIÉRREZ,CARRETERA EUQUERIO GUERRERO 10 36256 GUANAJUATO,,"S,M,W,F,S",,,2025-03-25 09:05:54,2025-03-27 00:27:21,true,America/Costa Rica,,,20.9937017,-101.28511,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2891365
,,,,,0620293813,,RESTAURANTE BARROCO,CALLE CAMINO A BOCA MINA 4 36020 GUANAJUATO,,"S,M,T,W,R,S",,,,,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,,2890119
MANUAL,,,,,0620302304,,ABARROTES EL DANY,CALLE FRANCISCO I MADERO 9A 36290 SILAO DE LA VICTORIA,,"M,T,W,R,S",,,2025-04-11 12:23:57,2025-04-11 12:23:57,true,America/Costa Rica,,,20.985657,-101.3982807,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,MX01531589,2890124
,,,,,0620302701,,MARISELA TREJO,PRIVADA PRIVADA SAUCEDA 3 36275 SILAO DE LA VICTORIA,,"S,M,T,R,S",,,,,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,,2891692
MANUAL,,,,,0620302714,,GREGORIO RAMIREZ CEDILLO,CALLE PRINCIPAL 5 36280 SILAO DE LA VICTORIA,,"S,M,T,W,R,S",,,2025-03-28 10:01:16,2025-04-03 23:47:59,true,America/Costa Rica,,,20.88274,-101.4355067,Distribuidora Silao,MX,0.05,,,,,,,false,Default,,,gmtmproot,2893016
,,,,,0620302511,,JUAN ANTONIO MEZA SILVA,CALLE JOSE ALFREDO JIMÉNEZ 5 36170 SILAO DE LA VICTORIA,,"S,M,T,W,R,S",,,,,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,,2893022
,,,,,0620300889,,ABARROTES LA GUERA,AVENIDA BALLERES 60 36100 SILAO DE LA VICTORIA,,"S,M,T,W,R,S",,,,2025-04-03 23:49:19,true,America/Costa Rica,,,,,Distribuidora Silao,MX,,,,,,,,false,Default,,,gmtmproot,2893023
